train_id,date,rolling_stock_fitness,signalling_fitness,telecom_fitness,job_card_status,branding_hours,branding_total,mileage,cleaning_slot,stabling_bay,shunting_time_minutes,induction_status,induction_score,punctuality,maintenance_cost,sla_penalty,is_serviceable,branding_sla_met,mileage_balance_deviation
1,2024-01-01,True,True,True,open,4.256559413813202,0.0,24279.876570886314,,6.0,30,standby,0.0,,0.0,0,False,False,28394.311778718285
2,2024-01-01,True,True,True,open,6.93208935790312,0.0,31871.04366615096,,,55,standby,0.0,,0.0,0,False,False,20803.14468345364
3,2024-01-01,True,True,True,open,5.400616903006121,0.0,78803.18323897792,,,55,standby,0.0,,0.0,0,False,False,26128.994889373316
4,2024-01-01,True,True,True,open,10.160651777655373,0.0,79036.20850683468,,1.0,5,maintenance,0.0,,3525.4482052360104,0,False,True,26362.02015723008
5,2024-01-01,True,True,True,open,6.61702029179586,0.0,89559.01777923905,,,55,maintenance,0.0,,3926.836804371904,0,False,False,36884.82942963445
6,2024-01-01,True,True,True,open,9.69877600096461,0.0,20179.126851748362,,,55,maintenance,0.0,,2660.1177263408263,0,False,True,32495.061497856237
7,2024-01-01,True,True,True,open,3.9243038299229083,0.0,21776.00253652253,1.0,,55,maintenance,0.0,,2066.953424727627,0,False,False,30898.18581308207
8,2024-01-01,True,True,True,open,4.803089509070871,0.0,90680.13273500375,,,55,maintenance,0.0,,3484.3340625317023,0,False,False,38005.94438539915
9,2024-01-01,True,True,True,open,4.236900984655277,0.0,16225.739937730981,,,55,maintenance,0.0,,2348.2692068239885,0,False,False,36448.448411873615
10,2024-01-01,True,True,True,open,10.50990401635487,0.0,11170.919057897358,,2.0,10,maintenance,0.0,,2518.1935099616553,0,False,True,41503.26929170724
11,2024-01-01,True,True,True,open,1.8908506403585994,0.0,20519.715844722057,,,55,maintenance,0.0,,1051.7863214282488,0,False,False,32154.472504882542
12,2024-01-01,True,True,True,open,11.040772788370953,0.0,13262.79972218638,,,55,maintenance,0.0,,4618.440771960068,0,False,True,39411.388627418215
13,2024-01-01,True,True,True,open,8.476027917233296,0.0,52399.170351373235,,4.0,20,maintenance,0.0,,2779.9375045404063,0,False,True,275.0179982313639
14,2024-01-01,True,True,True,open,6.080723715589455,0.0,47866.94912252942,,,55,maintenance,0.0,,4546.982941925813,0,False,False,4807.239227075181
15,2024-01-01,True,True,True,open,10.0810015766307,0.0,25273.702794052013,,,55,maintenance,0.0,,2183.523460649013,0,False,True,27400.485555552586
16,2024-01-01,True,True,True,open,1.5065064909353905,0.0,88140.42938570469,,5.0,25,maintenance,0.0,,1814.9483429593138,0,False,False,35466.24103610009
17,2024-01-01,True,True,True,open,8.43884254900175,0.0,96027.37913356406,,,55,maintenance,0.0,,2182.736520867241,0,False,True,43353.19078395946
18,2024-01-01,True,True,True,open,8.73667074354001,0.0,67088.1552796636,5.0,9.0,45,maintenance,0.0,,3067.3630459716073,0,False,True,14413.966930058996
19,2024-01-01,True,True,True,open,10.030541765507971,0.0,32190.798284797354,,,55,maintenance,0.0,,1626.1009480217776,0,False,True,20483.390064807245
20,2024-01-01,True,True,True,open,2.085439000056637,0.0,64432.93292959881,4.0,3.0,15,maintenance,0.0,,2990.1344118839957,0,False,False,11758.744579994207
21,2024-01-01,True,True,True,open,6.0200939385967684,0.0,94624.95884294559,2.0,,55,maintenance,0.0,,1034.0905311794284,0,False,False,41950.77049334099
22,2024-01-01,True,True,True,open,3.789731063983443,0.0,47342.88609030993,3.0,7.0,35,maintenance,0.0,,1964.7058758688186,0,False,False,5331.302259294673
23,2024-01-01,True,True,True,open,9.569717317222436,0.0,38254.89081585886,,10.0,50,maintenance,0.0,,2816.768572430242,0,False,True,14419.29753374574
24,2024-01-01,True,True,True,open,6.5934684602796425,0.0,93350.95244739247,,,55,maintenance,0.0,,2787.902354640709,0,False,False,40676.76409778787
25,2024-01-01,True,True,True,open,11.738572037739782,0.0,72497.73681442466,,8.0,40,maintenance,0.0,,2966.9433509617593,0,False,True,19823.548464820058
23,2024-01-02,True,True,True,closed,9.04160285973132,9.04160285973132,38678.714188195816,,,55,revenue,75.58070246625427,1.0,0.0,0,True,True,14232.363705663913
18,2024-01-02,True,True,True,closed,7.432672299318749,7.432672299318749,67204.849857662,,9.0,45,revenue,72.74939456653476,1.0,0.0,1000,True,False,14293.771963802275
20,2024-01-02,True,True,True,closed,6.4618911955259115,6.4618911955259115,64616.424053083785,,1.0,5,revenue,70.55071139763535,1.0,0.0,1000,True,False,11705.346159224056
25,2024-01-02,True,True,True,closed,8.572532052602321,8.572532052602321,72812.07721513977,,,55,revenue,70.17645153517995,1.0,0.0,0,True,True,19900.99932128004
3,2024-01-02,True,True,True,closed,8.103836231614972,8.103836231614972,79177.65866612225,2.0,,55,revenue,63.87100511062668,1.0,0.0,0,True,True,26266.580772262525
2,2024-01-02,True,True,True,closed,6.863753324081513,6.863753324081513,31981.78824053334,5.0,,55,revenue,63.51562193695392,1.0,0.0,1000,True,False,20929.28965332639
22,2024-01-02,True,True,True,closed,3.013486273643613,3.013486273643613,47727.89005187696,4.0,2.0,10,revenue,59.73612910892339,1.0,0.0,1000,True,False,5183.18784198277
14,2024-01-02,True,True,True,closed,2.684432482640893,2.684432482640893,48240.35982665618,,8.0,40,revenue,58.61492318612929,1.0,0.0,1000,True,False,4670.7180672035465
5,2024-01-02,True,True,True,closed,8.471411797859407,8.471411797859407,90029.71461011011,,,55,revenue,53.11517057036556,1.0,0.0,0,True,True,37118.63671625038
13,2024-01-02,True,True,True,closed,0.41990947623682295,0.41990947623682295,52554.34428013219,,5.0,25,revenue,51.824529382952754,1.0,0.0,1000,True,False,356.7336137275415
12,2024-01-02,True,True,True,closed,11.799608659010993,11.799608659010993,13757.289721109735,,,55,revenue,50.58861137258179,1.0,0.0,0,True,True,39153.78817274999
7,2024-01-02,True,True,True,closed,6.131654263488922,6.131654263488922,22038.404550209885,,3.0,15,revenue,49.76008550436255,1.0,0.0,1000,True,False,30872.673343649843
24,2024-01-02,True,True,True,closed,8.966713431601338,8.966713431601338,93696.1007499525,,4.0,20,revenue,49.32323590221213,1.0,0.0,0,True,True,40785.02285609277
11,2024-01-02,True,True,True,closed,6.288434435918731,6.288434435918731,20854.03747473792,,10.0,50,revenue,49.287699674711114,1.0,0.0,1000,True,False,32057.040419121808
16,2024-01-02,True,True,True,closed,6.640808105598957,6.640808105598957,88261.55504573899,,,55,revenue,47.73779949189469,1.0,0.0,1000,True,False,35350.47715187926
9,2024-01-02,True,True,True,closed,6.807997646399331,6.807997646399331,16588.93552413613,,,55,revenue,47.591539820123046,1.0,0.0,1000,True,False,36322.1423697236
17,2024-01-02,True,True,True,closed,10.78679845389136,10.78679845389136,96156.9357953502,,,55,revenue,46.646809216040545,1.0,0.0,0,True,True,43245.857901490475
4,2024-01-02,True,True,True,closed,4.131613445858169,4.131613445858169,79322.37970974187,,,55,revenue,44.29604707206077,1.0,0.0,1000,True,False,26411.301815882143
1,2024-01-02,True,True,True,closed,3.918328153237069,3.918328153237069,24749.127071198036,,6.0,30,revenue,41.19732898746706,1.0,0.0,1000,True,False,28161.950822661693
21,2024-01-02,True,True,True,closed,5.9890527382005105,5.9890527382005105,94833.68099130689,,7.0,35,revenue,37.99449319766156,1.0,0.0,1000,True,False,41922.60309744716
19,2024-01-02,True,True,True,closed,1.3296588961007232,1.3296588961007232,32190.798284797354,,,55,standby,36.16490441569637,,0.0,0,True,False,20720.279609062374
